,count,mean,min,25%,50%,75%,max,std
time,376120,2018-10-21 02:06:26.697064704,2017-01-01 00:20:00,2017-11-27 05:18:45,2018-10-21 09:07:30,2019-09-14 12:46:15,2020-08-07 12:15:00,
Cyclone_Inlet_Gas_Temp,376120.0,727.3863821918538,0.0,856.28,882.38,901.12,1157.63,328.63544149720013
Cyclone_Material_Temp,376120.0,750.8266412315219,-185.0,867.66,913.36,943.66,1375.0,350.9237719647382
Cyclone_Outlet_Gas_draft,376120.0,-177.8306723120281,-456.66,-247.19,-215.26,-170.15,40.27,99.13921904312764
Cyclone_cone_draft,376120.0,-164.5825421408061,-459.31,-226.77,-198.57,-143.6775,488.86,90.09686909767198
Cyclone_Gas_Outlet_Temp,376120.0,715.7969241997237,13.79,802.0374999999999,871.53,899.3,1375.0,325.3178148464386
Cyclone_Inlet_Draft,376120.0,-141.30977714559188,-396.37,-193.51,-169.46,-136.3075,41.64,77.60985449225194
Cyclone_Inlet_Gas_Temp_rolling_mean,376120.0,727.3863029511856,14.388,862.094,885.8120000000001,900.4619999999999,1101.19,328.22638947190853
Cyclone_Inlet_Gas_Temp_rolling_std,376120.0,12.81977758443294,0.0,4.320293392782502,10.35348733498255,17.82830249901011,509.3319717237588,13.095207866163014
Cyclone_Inlet_Gas_Temp_diff,376120.0,1.4835690737000147e-05,-938.11,-7.990000000000009,0.0,8.590000000000032,907.22,24.257381040106754
Cyclone_Material_Temp_rolling_mean,376120.0,750.8267237530574,-185.0,875.683,916.8779999999996,940.5459999999997,1262.3419999999999,348.6468592379413
Cyclone_Material_Temp_rolling_std,376120.0,20.6191125936642,0.0,6.16194936611402,14.752090529655597,24.54713725664117,720.9793988180078,39.57222365543057
Cyclone_Material_Temp_diff,376120.0,-4.7431670743370073e-05,-1374.01,-10.830000000000041,0.0,12.360000000000014,1330.6299999999999,58.213306242401146
Cyclone_Outlet_Gas_draft_rolling_mean,376120.0,-177.83040415824746,-389.534,-247.17800000000003,-215.54700000000003,-170.78900000000002,32.339999999999975,98.89466271314235
Cyclone_Outlet_Gas_draft_rolling_std,376120.0,4.80527311785997,0.0,2.0393577420678892,4.058798467589977,6.150751376907385,184.04993716380406,6.117823374297862
Cyclone_Outlet_Gas_draft_diff,376120.0,-0.00014854301818568663,-268.66,-3.519999999999982,-0.009999999999999953,3.299999999999983,318.07,9.101448090632093
Cyclone_cone_draft_rolling_mean,376120.0,-164.58231687227482,-340.56600000000003,-226.67,-198.64400000000006,-144.93750000000006,143.07,89.75967262515543
Cyclone_cone_draft_rolling_std,376120.0,5.714416540651118,0.0,2.4712122522465902,4.939002935821984,7.362833693643169,324.3831429498154,6.567846248144622
Cyclone_cone_draft_diff,376120.0,-0.00011860576411783507,-411.53000000000003,-4.170000000000016,0.0,4.0400000000000205,729.73,10.720503789372593
Cyclone_Gas_Outlet_Temp_rolling_mean,376120.0,715.7967875677977,13.809999999999997,802.6355,872.7300000000001,899.4119999999999,1375.0,325.10815173238166
Cyclone_Gas_Outlet_Temp_rolling_std,376120.0,8.313553839587764,0.0,2.5628529007784024,6.264053798140026,10.95078924094487,475.3118130974541,10.06438713580001
Cyclone_Gas_Outlet_Temp_diff,376120.0,4.3204296501118174e-05,-867.71,-4.559999999999945,-0.00999999999999801,4.710000000000036,866.93,15.513462159054406
Cyclone_Inlet_Draft_rolling_mean,376120.0,-141.30958277677334,-336.2080000000001,-193.532,-169.584,-136.8155,31.33999999999993,77.35916287061663
Cyclone_Inlet_Draft_rolling_std,376120.0,4.48338321763897,0.0,2.008946863463046,3.897894944673987,5.756608810760727,162.0457058363462,5.333878627328994
Cyclone_Inlet_Draft_diff,376120.0,-0.00010953950866744718,-223.0,-3.3799999999999955,-0.009999999999999787,3.180000000000007,255.97,8.394483476483938
iso_pred,376120.0,0.020001595235563118,0.0,0.0,0.0,0.0,1.0,0.14000565538131401
svm_pred,376120.0,0.019998936509624587,0.0,0.0,0.0,0.0,1.0,0.13999653980256804
elliptic_pred,376120.0,0.020001595235563118,0.0,0.0,0.0,0.0,1.0,0.14000565538144585
lof_pred,376120.0,0.020001595235563118,0.0,0.0,0.0,0.0,1.0,0.1400056553813451
anomaly_score,376120.0,0.08000372221631394,0.0,0.0,0.0,0.0,4.0,0.33062078977040593
